Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
163331,KING EDWARD,S,3.5,Perth,John Bryden (Potatoes) Ltd,No
163332,KING EDWARD,S,1.8,Perth,John Bryden (Potatoes) Ltd,No
163333,MARIS PIPER,S,4.2,Perth,John Bryden (Potatoes) Ltd,No
163334,DESIREE,S,0.6,Perth,John Bryden (Potatoes) Ltd,No
163335,MARIS PEER,S,0.7,Perth,John Bryden (Potatoes) Ltd,No
163336,ARRAN PILOT,S,1.1,Perth,John Bryden (Potatoes) Ltd,No
163337,KING EDWARD,S,5.7,Perth,John Bryden (Potatoes) Ltd,No
163338,MARIS PIPER,SE,1.9,Perth,John Bryden (Potatoes) Ltd,No
163339,MARIS PIPER,S,5.9,Perth,John Bryden (Potatoes) Ltd,No
163340,MARIS PIPER,S,6,Perth,John Bryden (Potatoes) Ltd,No
163341,MARIS PEER,S,4.7,Perth,John Bryden (Potatoes) Ltd,No
163342,EUROSTAR,E,0.8,Perth,Stet Potato Ltd,No
163345,ARRAN PILOT,S,1.4,Perth,John Bryden (Potatoes) Ltd,No
163346,BROOKE,PB,7.78,Ross,Saltire Seed Ltd,No
163347,CARA,SE,7.5,Aberdeen,Hilton Potatoes Ltd,No
163349,CARA,S,0.7,Aberdeen,Hilton Potatoes Ltd,No
163350,SLANEY,SE,5.8,Aberdeen,IPM Potato Group Ltd,No
163351,SLANEY,S,0.7,Aberdeen,IPM Potato Group Ltd,No
163352,BROOKE,S,1.2,Ross,Saltire Seed Ltd,No
163353,SLANEY,SE,6.4,Aberdeen,IPM Potato Group Ltd,No
163354,BURREN,SE,6.7,Aberdeen,IPM Potato Group Ltd,No
163355,BROOKE,S,6.3,Ross,Saltire Seed Ltd,No
163356,BROOKE,S,1.1,Ross,Saltire Seed Ltd,No
163357,BURREN,S,0.8,Aberdeen,IPM Potato Group Ltd,No
163358,BURREN,SE,2.4,Aberdeen,IPM Potato Group Ltd,No
163359,DESIREE,S,6.5,Aberdeen,Hilton Potatoes Ltd,No
163360,DESIREE,S,3,Aberdeen,Hilton Potatoes Ltd,No
163361,HERMES,SE,1.7,Aberdeen,Hilton Potatoes Ltd,No
163362,SHARPE'S EXPRESS,E,1.1,Aberdeen,Hilton Potatoes Ltd,No
163363,JAZZY,S,4.9,Aberdeen,Meijer Potato UK,No
163364,HERMES,S,0.8,Banff,Hilton Potatoes Ltd,No
163365,HERMES,SE,6.2,Banff,Hilton Potatoes Ltd,No
163366,CHARLOTTE,S,1.4,Aberdeen,Hilton Potatoes Ltd,No
163367,CHARLOTTE,S,2.2,Aberdeen,Hilton Potatoes Ltd,No
163368,JAZZY,S,1.4,Aberdeen,Meijer Potato UK,No
163369,JAZZY,S,5.9,Aberdeen,Meijer Potato UK,No
163370,CHARLOTTE,S,5.8,Aberdeen,Hilton Potatoes Ltd,No
163371,CARA,S,0.8,Aberdeen,Millfield Potatoes Ltd,No
163372,DUKE OF YORK,SE,0.2,Aberdeen,Millfield Potatoes Ltd,No
163374,JAZZY,PB,0.27,Nairn,Meijer Potato UK,No
